GEOID,CONCELHO_DSG,Indice_Volumetria_2021,Percentagem_Vagos_2021,Idade_Media_Edif_2021,Percentagem_Alojamento_Habitual_2021,Dimensao_Alojamento_2021,Alojamento_Por_Familia_2021,Percentagem_Arrendamento_2021,Numero_Divisoes_2021,Indicador_Acessibilidade_Economica_2021,Alojamento_Por_Familias_2021_2021,Preco_Total_2022,Rendimento_2021,Construcao_2021,Arrendamento_2022,Numero_Alojamentos_Familiares_2021,Numero_Familias_2021
101,Águeda,1.755079067,0.126211073,43.8196194,0.773486159,144.4514343,1.29219763,0.116695502,5.75237212,0.088226407,0.681093394,876,9929,45,4.12,23120,17892
102,Albergaria-a-Velha,1.721323529,0.11402108,45.89970588,0.7705206,135.5207254,1.297286099,0.107713191,5.412945839,0.096450234,0.506053269,970,10057,25,4.38,12524,9654
103,Anadia,1.630814631,0.155160903,45.66859517,0.72279343,150.6673748,1.382754801,0.088529844,6.083037046,0.08002103,1.571428571,761,9510,25,3.87,14978,10832
104,Arouca,1.662265799,0.100967569,42.41913406,0.680702383,131.2845486,1.468104696,0.061996058,5.471735212,0.092339029,3.215827338,816,8837,25,3.66,11162,7603
105,Aveiro,2.052714893,0.10916917,42.72467256,0.776978928,130.6174474,1.28250781,0.209280325,5.417337689,0.138693035,0.937602627,1613,11630,79,6.88,42283,32969
106,Castelo de Paiva,1.690122709,0.129205393,45.58672928,0.734127504,118.1348074,1.362161198,0.09399136,5.412378468,0.108430886,6.545454545,917,8457,24,3.17,7639,5608
107,Espinho,2.014406586,0.10143481,47.95735193,0.778914535,112.1996636,1.282605217,0.250655022,5.171970116,0.092279299,0.56964657,900,9753,39,6.65,16030,12498
108,Estarreja,1.599705173,0.143832988,46.1445993,0.749712181,138.2447789,1.326241857,0.112518229,5.551131102,0.084650336,0.948113208,857,10124,32,4.16,13029,9824
109,Santa Maria da Feira,1.862983574,0.09300056,42.05494345,0.814782817,132.4183161,1.226405839,0.141924646,5.288441541,0.119490175,0.99101348,1125,9415,120,4.69,62505,50966
110,Ílhavo,1.740859082,0.09739369,42.24771065,0.686844551,134.1434738,1.446706357,0.122173548,5.52594028,0.135160328,0.62890625,1450,10728,73,5.99,22599,15621
111,Mealhada,1.695631807,0.150663845,43.61746106,0.735520493,149.4473512,1.357450699,0.093130652,5.915591837,0.084475552,-3.023529412,869,10287,29,3.72,10394,7657
112,Murtosa,1.635740866,0.068828506,48.42388363,0.518841323,133.4362648,1.925468904,0.061779031,5.535286704,0.110981308,0.693023256,1045,9416,22,4.34,7802,4052
113,Oliveira de Azeméis,1.799091268,0.114929026,45.62221783,0.812334802,136.7086447,1.228798268,0.15676293,5.430892965,0.094987624,0.877266388,921,9696,49,3.76,30645,24939
114,Oliveira do Bairro,1.748955585,0.124020888,42.21086192,0.753698869,155.3637413,1.319476344,0.109921671,5.698846836,0.09197925,0.665454545,922,10024,43,4.43,11490,8708
115,Ovar,1.735144574,0.080183236,45.43361923,0.730740987,125.9654496,1.367034753,0.138161346,5.315309923,0.122422808,0.590489709,1241,10137,24,5.21,28597,20919
116,São João da Madeira,2.912538226,0.091972455,47.53792049,0.850297142,117.1400044,1.175668182,0.273653429,5.042927006,0.107870228,0.187586207,1054,9771,14,4.85,10601,9017
